¿ªÊ¼Óï·¨·ÖÎö: 
Õ»                  ÊäÈë´®                                                                                              ¶¯×÷                          
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O' a        a + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä a
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O'        + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> ¦Å 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' ¦Å        + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE'        + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> + O KE' 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O +        + b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä +
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O        b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O -> Q O' 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O' Q        b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> ID 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O' ID        b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> b 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O' b        b ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä b
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' O'        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> ¦Å 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE' ¦Å        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else } P ; K' KA' KB' KC' KD' KE'        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> ¦Å 
# A } F } P N else } P ; K' KA' KB' KC' KD' ¦Å        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else } P ; K' KA' KB' KC' KD'        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD' -> ¦Å 
# A } F } P N else } P ; K' KA' KB' KC' ¦Å        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else } P ; K' KA' KB' KC'        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC' -> ¦Å 
# A } F } P N else } P ; K' KA' KB' ¦Å        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else } P ; K' KA' KB'        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB' -> ¦Å 
# A } F } P N else } P ; K' KA' ¦Å        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else } P ; K' KA'        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA' -> ¦Å 
# A } F } P N else } P ; K' ¦Å        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else } P ; K'        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K' -> ¦Å 
# A } F } P N else } P ; ¦Å        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else } P ;        ; } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä ;
# A } F } P N else } P        } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        P -> ¦Å 
# A } F } P N else } ¦Å        } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P N else }        } else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä }
# A } F } P N else        else { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä else
# A } F } P N        { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        N -> { P } 
# A } F } P } P {        { a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä {
# A } F } P } P        a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        P -> R P 
# A } F } P } P R        a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        R -> S 
# A } F } P } P S        a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        S -> ID S' 
# A } F } P } P S' ID        a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> a 
# A } F } P } P S' a        a = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä a
# A } F } P } P S'        = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        S' -> = K ; 
# A } F } P } P ; K =        = a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä =
# A } F } P } P ; K        a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K -> KA K' 
# A } F } P } P ; K' KA        a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA -> KB KA' 
# A } F } P } P ; K' KA' KB        a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB -> KC KB' 
# A } F } P } P ; K' KA' KB' KC        a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC -> KD KC' 
# A } F } P } P ; K' KA' KB' KC' KD        a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD -> KE KD' 
# A } F } P } P ; K' KA' KB' KC' KD' KE        a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE -> O KE' 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O        a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O -> Q O' 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' Q        a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> ID 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' ID        a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> a 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' a        a % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä a
# A } F } P } P ; K' KA' KB' KC' KD' KE' O'        % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> % Q O' 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' Q %        % b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä %
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' Q        b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Q -> ID 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' ID        b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> b 
# A } F } P } P ; K' KA' KB' KC' KD' KE' O' b        b ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä b
# A } F } P } P ; K' KA' KB' KC' KD' KE' O'        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        O' -> ¦Å 
# A } F } P } P ; K' KA' KB' KC' KD' KE' ¦Å        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA' KB' KC' KD' KE'        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KE' -> ¦Å 
# A } F } P } P ; K' KA' KB' KC' KD' ¦Å        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA' KB' KC' KD'        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KD' -> ¦Å 
# A } F } P } P ; K' KA' KB' KC' ¦Å        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA' KB' KC'        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KC' -> ¦Å 
# A } F } P } P ; K' KA' KB' ¦Å        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA' KB'        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KB' -> ¦Å 
# A } F } P } P ; K' KA' ¦Å        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K' KA'        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        KA' -> ¦Å 
# A } F } P } P ; K' ¦Å        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ; K'        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        K' -> ¦Å 
# A } F } P } P ; ¦Å        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P } P ;        ; } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä ;
# A } F } P } P        } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        P -> ¦Å 
# A } F } P } ¦Å        } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ÒÆ³ö ¦Å 
# A } F } P }        } int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä }
# A } F } P        int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        P -> R P 
# A } F } P R        int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        R -> H 
# A } F } P H        int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        H -> J ID H' 
# A } F } P H' ID J        int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        J -> int 
# A } F } P H' ID int        int i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä int
# A } F } P H' ID        i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> i 
# A } F } P H' i        i ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä i
# A } F } P H'        ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        H' -> ; 
# A } F } P ;        ; for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä ;
# A } F } P        for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        P -> R P 
# A } F } P R        for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        R -> V 
# A } F } P V        for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        V -> for ( S K ; K ) N 
# A } F } P N ) K ; K S ( for        for ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä for
# A } F } P N ) K ; K S (        ( i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä (
# A } F } P N ) K ; K S        i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        S -> ID S' 
# A } F } P N ) K ; K S' ID        i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        ID -> i 
# A } F } P N ) K ; K S' i        i = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        Æ¥Åä i
# A } F } P N ) K ; K S'        = 0 ; i < 10 ; i ++ ) { a = a + i ; } while ( b < 100 ) { b = b ++ ; } while ( a > 30 ) { a = a - b ; } } } public class test { public void main ( String [ ] args ) { example e = new example ( ) ; e . fun ( ) ; } } #        S' -> = K ; 
